id;name
1;Афганистан
2;Албания
3;Алжир
4;Андорра
5;Ангола
6;Антигуа и Барбуда
7;Аргентина
8;Армения
9;Австралия
10;Австрия
11;Азербайджан
12;Багамы
13;Бахрейн
14;Бангладеш
15;Барбадос
16;Беларусь
17;Бельгия
18;Белиз
19;Бенин
20;Бутан
21;Боливия
22;Босния и Герцеговина
23;Ботсвана
24;Бразилия
25;Бруней
26;Болгария
27;Буркина-Фасо
28;Бурунди
29;Кабо-Верде
30;Камбоджа
31;Камерун
32;Канада
33;ЦАР
34;Чад
35;Чили
36;Китай
37;Колумбия
38;Коморы
39;Конго (Браззавиль)
40;Конго (Киншаса)
41;Коста-Рика
42;Хорватия
43;Куба
44;Кипр
45;Чехия
46;Дания
47;Джибути
48;Доминика
49;Доминиканская Республика
50;Эквадор
51;Египет
52;Сальвадор
53;Экваториальная Гвинея
54;Эритрея
55;Эстония
56;Эсватини
57;Эфиопия
58;Фиджи
59;Финляндия
60;Франция
61;Габон
62;Гамбия
63;Грузия
64;Германия
65;Гана
66;Греция
67;Гренада
68;Гватемала
69;Гвинея
70;Гвинея-Бисау
71;Гайана
72;Гаити
73;Гондурас
74;Венгрия
75;Исландия
76;Индия
77;Индонезия
78;Иран
79;Ирак
80;Ирландия
81;Израиль
82;Италия
83;Ямайка
84;Япония
85;Иордания
86;Казахстан
87;Кения
88;Кирибати
89;Северная Корея
90;Южная Корея
91;Кувейт
92;Киргизстан
93;Лаос
94;Латвия
95;Ливан
96;Лесото
97;Либерия
98;Ливия
99;Лихтенштейн
100;Литва
101;Люксембург
102;Мадагаскар
103;Малави
104;Малайзия
105;Мальдивы
106;Мали
107;Мальта
108;Маршалловы Острова
109;Мавритания
110;Маврикий
111;Мексика
112;Микронезия
113;Молдова
114;Монако
115;Монголия
116;Черногория
117;Марокко
118;Мозамбик
119;Мьянма (Бирма)
120;Намибия
121;Науру
122;Непал
123;Нидерланды
124;Новая Зеландия
125;Никарагуа
126;Нигер
127;Нигерия
128;Северная Македония
129;Норвегия
130;Оман
131;Пакистан
132;Палау
133;Панама
134;Папуа — Новая Гвинея
135;Парагвай
136;Перу
137;Филиппины
138;Польша
139;Португалия
140;Катар
141;Румыния
142;Россия
143;Руанда
144;Сент-Китс и Невис
145;Сент-Люсия
146;Сент-Винсент и Гренадины
147;Самоа
148;Сан-Марино
149;Сан-Томе и Принсипи
150;Саудовская Аравия
151;Сенегал
152;Сербия
153;Сейшельские Острова
154;Сьерра-Леоне
155;Сингапур
156;Словакия
157;Словения
158;Соломоновы Острова
159;Сомали
160;Южная Африка
161;Южный Судан
162;Испания
163;Шри-Ланка
164;Судан
165;Суринам
166;Швеция
167;Швейцария
168;Сирия
169;Тайвань
170;Таджикистан
171;Танзания
172;Таиланд
173;Восточный Тимор
174;Того
175;Тонга
176;Тринидад и Тобаго
177;Тунис
178;Турция
179;Туркменистан
180;Тувалу
181;Уганда
182;Украина
183;ОАЭ
184;Великобритания
185;США
186;Уругвай
187;Узбекистан
188;Вануату
189;Ватикан
190;Венесуэла
191;Вьетнам
192;Йемен
193;Замбия
194;Зимбабве
